;Data;Tipo Aula;Professor
0;6 de fevereiro de 2023, 11:00;Inglês para Intermediários;Com Giovanna Viglio Instrutora
1;4 de fevereiro de 2023, 12:00;1ª TURMA DE MENTORIA;Com Phillipe Soares
2;3 de fevereiro de 2023, 11:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
3;3 de fevereiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
4;2 de fevereiro de 2023, 21:00;Inglês para Intermediários;Com Bruna Marola Instrutora
5;2 de fevereiro de 2023, 11:00;Inglês para Intermediários;Com Giovanna Viglio Instrutora
6;1 de fevereiro de 2023, 10:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
7;31 de janeiro de 2023, 16:00;TALKNTALK para Mulheres;Com Yasmin Santana
8;31 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
9;30 de janeiro de 2023, 15:00;Inglês para Iniciantes;Com Bruna Carreta Iniciante
10;30 de janeiro de 2023, 11:00;Inglês para Intermediários;Com Giovanna Viglio Instrutora
11;29 de janeiro de 2023, 13:00;Imersão em Inglês;Com Vanessa Bento
12;28 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Bruna Marola Instrutora
13;27 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
14;27 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
15;26 de janeiro de 2023, 12:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
16;26 de janeiro de 2023, 11:00;Inglês para Intermediários;Com Giovanna Viglio Instrutora
17;25 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
18;24 de janeiro de 2023, 16:00;TALKNTALK para Mulheres;Com Yasmin Santana
19;24 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
20;24 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
21;23 de janeiro de 2023, 18:00;Imersão em Inglês;Com Sarah Romanhol
22;23 de janeiro de 2023, 15:00;Inglês para Iniciantes;Com Bruna Carreta Iniciante
23;23 de janeiro de 2023, 11:00;Inglês para Intermediários;Com Giovanna Viglio Instrutora
24;21 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Bruna Marola Instrutora
25;20 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
26;20 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
27;19 de janeiro de 2023, 20:00;Business English;Com Sara Conceição Business
28;19 de janeiro de 2023, 12:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
29;18 de janeiro de 2023, 13:00;Imersão em Inglês;Com Luana Dias
30;18 de janeiro de 2023, 11:00;Inglês para Intermediários;Com Júnio Rufino Instrutor
31;18 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
32;17 de janeiro de 2023, 22:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
33;17 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
34;17 de janeiro de 2023, 09:00;Imersão em Inglês;Com Phillipe Soares
35;16 de janeiro de 2023, 15:00;Inglês para Iniciantes;Com Bruna Carreta Iniciante
36;16 de janeiro de 2023, 11:00;Inglês para Intermediários;Com Giovanna Viglio Instrutora
37;14 de janeiro de 2023, 13:00;TALKNTALK para Mulheres;Com Gabriela Bonaldi
38;13 de janeiro de 2023, 15:00;Inglês para Iniciantes;Com Yuri Reis Iniciante
39;13 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
40;13 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Giovanna Viglio Iniciante
41;12 de janeiro de 2023, 22:00;Inglês para Intermediários;Com Gabriel Henrique
42;12 de janeiro de 2023, 21:00;Inglês para Intermediários;Com Bruna Marola Instrutora
43;12 de janeiro de 2023, 11:00;Francês para Iniciantes;Com Duda Cavalcanti Instrutora
44;12 de janeiro de 2023, 09:00;Imersão em Inglês;Com Phillipe Soares
45;11 de janeiro de 2023, 10:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
46;10 de janeiro de 2023, 22:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
47;10 de janeiro de 2023, 11:00;Inglês para Iniciantes;Com Sara Conceição Iniciantes
48;10 de janeiro de 2023, 09:00;Imersão em Inglês;Com Phillipe Soares
49;9 de janeiro de 2023, 15:00;Inglês para Iniciantes;Com Bruna Carreta Iniciante
